cylinders,displacement,horsepower,weight,mpg
6,146,120,2930,24
6,231,110,3415,22
8,350,105,3725,27
6,200,88,3060,20
6,225,85,3465,18
4,112,88,2605,28
4,112,88,2640,27
4,112,88,2395,34
4,112,85,2575,31
4,135,84,2525,29
4,151,90,2735,27
4,140,92,2865,24
4,151,89,3035,23
4,105,74,1980,36
4,91,68,2025,37
4,91,68,1970,31
4,105,63,2125,38
4,98,70,2125,36
4,120,88,2160,36
4,107,75,2205,36
4,108,70,2245,34
4,91,67,1965,38
4,91,67,1965,32
4,91,67,1995,38
6,181,110,2945,25
6,262,85,3015,38
4,156,92,2585,26
6,232,112,2835,22
4,144,96,2665,32
4,135,84,2370,36
4,151,90,2950,27
4,140,86,2790,27
4,97,52,2130,44
4,135,84,2295,32
4,120,79,2625,28
4,119,82,2720,31
