,buying,maint,doors,persons,lug_boot,safety,class
502,2,1,3,2,3,2,1
503,2,1,3,3,1,3,1
504,2,1,3,3,1,1,1
505,2,1,3,3,1,2,1
506,2,1,3,3,2,3,1
507,2,1,3,3,2,1,1
508,2,1,3,3,2,2,1
509,2,1,3,3,3,3,1
510,2,1,3,3,3,1,1
511,2,1,3,3,3,2,1
512,2,1,4,1,1,3,1
513,2,1,4,1,1,1,1
514,2,1,4,1,1,2,1
515,2,1,4,1,2,3,1
516,2,1,4,1,2,1,1
517,2,1,4,1,2,2,1
518,2,1,4,1,3,3,1
519,2,1,4,1,3,1,1
520,2,1,4,1,3,2,1
521,2,1,4,2,1,3,1
522,2,1,4,2,1,1,1
523,2,1,4,2,1,2,1
524,2,1,4,2,2,3,1
525,2,1,4,2,2,1,1
526,2,1,4,2,2,2,1
527,2,1,4,2,3,3,1
528,2,1,4,2,3,1,1
529,2,1,4,2,3,2,1
530,2,1,4,3,1,3,1
531,2,1,4,3,1,1,1
532,2,1,4,3,1,2,1
533,2,1,4,3,2,3,1
534,2,1,4,3,2,1,1
535,2,1,4,3,2,2,1
536,2,1,4,3,3,3,1
537,2,1,4,3,3,1,1
538,2,1,4,3,3,2,1
539,2,2,1,1,1,3,1
540,2,2,1,1,1,1,1
541,2,2,1,1,1,2,1
542,2,2,1,1,2,3,1
543,2,2,1,1,2,1,1
544,2,2,1,1,2,2,1
545,2,2,1,1,3,3,1
546,2,2,1,1,3,1,1
547,2,2,1,1,3,2,1
548,2,2,1,2,1,3,1
549,2,2,1,2,1,1,1
550,2,2,1,2,1,2,2
551,2,2,1,2,2,3,1
552,2,2,1,2,2,1,1
553,2,2,1,2,2,2,2
554,2,2,1,2,3,3,1
555,2,2,1,2,3,1,2
556,2,2,1,2,3,2,2
557,2,2,1,3,1,3,1
558,2,2,1,3,1,1,1
559,2,2,1,3,1,2,1
560,2,2,1,3,2,3,1
561,2,2,1,3,2,1,1
562,2,2,1,3,2,2,2
563,2,2,1,3,3,3,1
564,2,2,1,3,3,1,2
565,2,2,1,3,3,2,2
566,2,2,2,1,1,3,1
567,2,2,2,1,1,1,1
568,2,2,2,1,1,2,1
569,2,2,2,1,2,3,1
570,2,2,2,1,2,1,1
571,2,2,2,1,2,2,1
572,2,2,2,1,3,3,1
573,2,2,2,1,3,1,1
574,2,2,2,1,3,2,1
575,2,2,2,2,1,3,1
576,2,2,2,2,1,1,1
577,2,2,2,2,1,2,2
578,2,2,2,2,2,3,1
579,2,2,2,2,2,1,1
580,2,2,2,2,2,2,2
581,2,2,2,2,3,3,1
582,2,2,2,2,3,1,2
583,2,2,2,2,3,2,2
584,2,2,2,3,1,3,1
585,2,2,2,3,1,1,1
586,2,2,2,3,1,2,2
587,2,2,2,3,2,3,1
588,2,2,2,3,2,1,2
589,2,2,2,3,2,2,2
590,2,2,2,3,3,3,1
591,2,2,2,3,3,1,2
592,2,2,2,3,3,2,2
593,2,2,3,1,1,3,1
594,2,2,3,1,1,1,1
595,2,2,3,1,1,2,1
596,2,2,3,1,2,3,1
597,2,2,3,1,2,1,1
598,2,2,3,1,2,2,1
599,2,2,3,1,3,3,1
600,2,2,3,1,3,1,1
601,2,2,3,1,3,2,1
602,2,2,3,2,1,3,1
603,2,2,3,2,1,1,1
604,2,2,3,2,1,2,2
605,2,2,3,2,2,3,1
606,2,2,3,2,2,1,2
607,2,2,3,2,2,2,2
608,2,2,3,2,3,3,1
609,2,2,3,2,3,1,2
610,2,2,3,2,3,2,2
611,2,2,3,3,1,3,1
612,2,2,3,3,1,1,1
613,2,2,3,3,1,2,2
614,2,2,3,3,2,3,1
615,2,2,3,3,2,1,2
616,2,2,3,3,2,2,2
617,2,2,3,3,3,3,1
618,2,2,3,3,3,1,2
619,2,2,3,3,3,2,2
620,2,2,4,1,1,3,1
621,2,2,4,1,1,1,1
622,2,2,4,1,1,2,1
623,2,2,4,1,2,3,1
624,2,2,4,1,2,1,1
625,2,2,4,1,2,2,1
626,2,2,4,1,3,3,1
627,2,2,4,1,3,1,1
628,2,2,4,1,3,2,1
629,2,2,4,2,1,3,1
630,2,2,4,2,1,1,1
631,2,2,4,2,1,2,2
632,2,2,4,2,2,3,1
633,2,2,4,2,2,1,2
634,2,2,4,2,2,2,2
635,2,2,4,2,3,3,1
636,2,2,4,2,3,1,2
637,2,2,4,2,3,2,2
638,2,2,4,3,1,3,1
639,2,2,4,3,1,1,1
640,2,2,4,3,1,2,2
641,2,2,4,3,2,3,1
642,2,2,4,3,2,1,2
643,2,2,4,3,2,2,2
644,2,2,4,3,3,3,1
645,2,2,4,3,3,1,2
646,2,2,4,3,3,2,2
647,2,3,1,1,1,3,1
648,2,3,1,1,1,1,1
649,2,3,1,1,1,2,1
650,2,3,1,1,2,3,1
651,2,3,1,1,2,1,1
652,2,3,1,1,2,2,1
653,2,3,1,1,3,3,1
654,2,3,1,1,3,1,1
655,2,3,1,1,3,2,1
656,2,3,1,2,1,3,1
657,2,3,1,2,1,1,1
658,2,3,1,2,1,2,2
659,2,3,1,2,2,3,1
660,2,3,1,2,2,1,1
661,2,3,1,2,2,2,2
662,2,3,1,2,3,3,1
663,2,3,1,2,3,1,2
664,2,3,1,2,3,2,2
665,2,3,1,3,1,3,1
666,2,3,1,3,1,1,1
667,2,3,1,3,1,2,1
668,2,3,1,3,2,3,1
669,2,3,1,3,2,1,1
670,2,3,1,3,2,2,2
671,2,3,1,3,3,3,1
672,2,3,1,3,3,1,2
673,2,3,1,3,3,2,2
674,2,3,2,1,1,3,1
675,2,3,2,1,1,1,1
676,2,3,2,1,1,2,1
677,2,3,2,1,2,3,1
678,2,3,2,1,2,1,1
679,2,3,2,1,2,2,1
680,2,3,2,1,3,3,1
681,2,3,2,1,3,1,1
682,2,3,2,1,3,2,1
683,2,3,2,2,1,3,1
684,2,3,2,2,1,1,1
685,2,3,2,2,1,2,2
686,2,3,2,2,2,3,1
687,2,3,2,2,2,1,1
688,2,3,2,2,2,2,2
689,2,3,2,2,3,3,1
690,2,3,2,2,3,1,2
691,2,3,2,2,3,2,2
692,2,3,2,3,1,3,1
693,2,3,2,3,1,1,1
694,2,3,2,3,1,2,2
695,2,3,2,3,2,3,1
696,2,3,2,3,2,1,2
697,2,3,2,3,2,2,2
698,2,3,2,3,3,3,1
699,2,3,2,3,3,1,2
700,2,3,2,3,3,2,2
701,2,3,3,1,1,3,1
702,2,3,3,1,1,1,1
703,2,3,3,1,1,2,1
704,2,3,3,1,2,3,1
705,2,3,3,1,2,1,1
706,2,3,3,1,2,2,1
707,2,3,3,1,3,3,1
708,2,3,3,1,3,1,1
709,2,3,3,1,3,2,1
710,2,3,3,2,1,3,1
711,2,3,3,2,1,1,1
712,2,3,3,2,1,2,2
713,2,3,3,2,2,3,1
714,2,3,3,2,2,1,2
715,2,3,3,2,2,2,2
716,2,3,3,2,3,3,1
717,2,3,3,2,3,1,2
718,2,3,3,2,3,2,2
719,2,3,3,3,1,3,1
720,2,3,3,3,1,1,1
721,2,3,3,3,1,2,2
722,2,3,3,3,2,3,1
723,2,3,3,3,2,1,2
724,2,3,3,3,2,2,2
725,2,3,3,3,3,3,1
726,2,3,3,3,3,1,2
727,2,3,3,3,3,2,2
728,2,3,4,1,1,3,1
729,2,3,4,1,1,1,1
730,2,3,4,1,1,2,1
731,2,3,4,1,2,3,1
732,2,3,4,1,2,1,1
733,2,3,4,1,2,2,1
734,2,3,4,1,3,3,1
735,2,3,4,1,3,1,1
736,2,3,4,1,3,2,1
737,2,3,4,2,1,3,1
738,2,3,4,2,1,1,1
739,2,3,4,2,1,2,2
740,2,3,4,2,2,3,1
741,2,3,4,2,2,1,2
742,2,3,4,2,2,2,2
743,2,3,4,2,3,3,1
744,2,3,4,2,3,1,2
745,2,3,4,2,3,2,2
746,2,3,4,3,1,3,1
747,2,3,4,3,1,1,1
748,2,3,4,3,1,2,2
749,2,3,4,3,2,3,1
750,2,3,4,3,2,1,2
751,2,3,4,3,2,2,2
752,2,3,4,3,3,3,1
753,2,3,4,3,3,1,2
754,2,3,4,3,3,2,2
755,2,4,1,1,1,3,1
756,2,4,1,1,1,1,1
757,2,4,1,1,1,2,1
758,2,4,1,1,2,3,1
759,2,4,1,1,2,1,1
760,2,4,1,1,2,2,1
761,2,4,1,1,3,3,1
762,2,4,1,1,3,1,1
763,2,4,1,1,3,2,1
764,2,4,1,2,1,3,1
765,2,4,1,2,1,1,1
766,2,4,1,2,1,2,2
767,2,4,1,2,2,3,1
768,2,4,1,2,2,1,1
769,2,4,1,2,2,2,2
770,2,4,1,2,3,3,1
771,2,4,1,2,3,1,2
772,2,4,1,2,3,2,2
773,2,4,1,3,1,3,1
774,2,4,1,3,1,1,1
775,2,4,1,3,1,2,1
776,2,4,1,3,2,3,1
777,2,4,1,3,2,1,1
778,2,4,1,3,2,2,2
779,2,4,1,3,3,3,1
780,2,4,1,3,3,1,2
781,2,4,1,3,3,2,2
782,2,4,2,1,1,3,1
783,2,4,2,1,1,1,1
784,2,4,2,1,1,2,1
785,2,4,2,1,2,3,1
786,2,4,2,1,2,1,1
787,2,4,2,1,2,2,1
788,2,4,2,1,3,3,1
789,2,4,2,1,3,1,1
790,2,4,2,1,3,2,1
791,2,4,2,2,1,3,1
792,2,4,2,2,1,1,1
793,2,4,2,2,1,2,2
794,2,4,2,2,2,3,1
795,2,4,2,2,2,1,1
796,2,4,2,2,2,2,2
797,2,4,2,2,3,3,1
798,2,4,2,2,3,1,2
799,2,4,2,2,3,2,2
800,2,4,2,3,1,3,1
801,2,4,2,3,1,1,1
802,2,4,2,3,1,2,2
803,2,4,2,3,2,3,1
804,2,4,2,3,2,1,2
805,2,4,2,3,2,2,2
806,2,4,2,3,3,3,1
807,2,4,2,3,3,1,2
808,2,4,2,3,3,2,2
809,2,4,3,1,1,3,1
810,2,4,3,1,1,1,1
811,2,4,3,1,1,2,1
812,2,4,3,1,2,3,1
813,2,4,3,1,2,1,1
814,2,4,3,1,2,2,1
815,2,4,3,1,3,3,1
816,2,4,3,1,3,1,1
817,2,4,3,1,3,2,1
818,2,4,3,2,1,3,1
819,2,4,3,2,1,1,1
820,2,4,3,2,1,2,2
821,2,4,3,2,2,3,1
822,2,4,3,2,2,1,2
823,2,4,3,2,2,2,2
824,2,4,3,2,3,3,1
825,2,4,3,2,3,1,2
826,2,4,3,2,3,2,2
827,2,4,3,3,1,3,1
828,2,4,3,3,1,1,1
829,2,4,3,3,1,2,2
830,2,4,3,3,2,3,1
831,2,4,3,3,2,1,2
832,2,4,3,3,2,2,2
833,2,4,3,3,3,3,1
834,2,4,3,3,3,1,2
835,2,4,3,3,3,2,2
836,2,4,4,1,1,3,1
837,2,4,4,1,1,1,1
838,2,4,4,1,1,2,1
839,2,4,4,1,2,3,1
840,2,4,4,1,2,1,1
841,2,4,4,1,2,2,1
842,2,4,4,1,3,3,1
843,2,4,4,1,3,1,1
844,2,4,4,1,3,2,1
845,2,4,4,2,1,3,1
846,2,4,4,2,1,1,1
847,2,4,4,2,1,2,2
848,2,4,4,2,2,3,1
849,2,4,4,2,2,1,2
850,2,4,4,2,2,2,2
851,2,4,4,2,3,3,1
852,2,4,4,2,3,1,2
853,2,4,4,2,3,2,2
854,2,4,4,3,1,3,1
855,2,4,4,3,1,1,1
856,2,4,4,3,1,2,2
857,2,4,4,3,2,3,1
858,2,4,4,3,2,1,2
859,2,4,4,3,2,2,2
860,2,4,4,3,3,3,1
861,2,4,4,3,3,1,2
862,2,4,4,3,3,2,2
863,3,1,1,1,1,3,1
864,3,1,1,1,1,1,1
865,3,1,1,1,1,2,1
866,3,1,1,1,2,3,1
867,3,1,1,1,2,1,1
868,3,1,1,1,2,2,1
869,3,1,1,1,3,3,1
870,3,1,1,1,3,1,1
871,3,1,1,1,3,2,1
